epoch,categorical_accuracy,learning_rate,loss,val_categorical_accuracy,val_loss
0,0.14846131205558777,0.0010000000474974513,2.2216126918792725,0.1585526317358017,1.9608782529830933
1,0.1579982340335846,0.0010000000474974513,2.011117935180664,0.17302630841732025,1.95903480052948
2,0.16202929615974426,0.0010000000474974513,1.985335111618042,0.15723684430122375,1.9630612134933472
3,0.15603186190128326,0.0010000000474974513,1.9770723581314087,0.1605263203382492,1.9542222023010254
4,0.1533772498369217,0.0010000000474974513,1.9758425951004028,0.16907894611358643,1.9515334367752075
5,0.16183266043663025,0.0010000000474974513,1.9682483673095703,0.1631578952074051,1.9570854902267456
6,0.16006292402744293,0.0010000000474974513,1.9648139476776123,0.16249999403953552,1.9533013105392456
7,0.16340576112270355,0.0010000000474974513,1.9657233953475952,0.15789473056793213,1.9560409784317017
8,0.15465539693832397,0.0010000000474974513,1.9668138027191162,0.1940789520740509,1.9512748718261719
9,0.16212761402130127,0.0010000000474974513,1.965023159980774,0.17302630841732025,1.942205548286438
10,0.16222593188285828,0.0010000000474974513,1.9642938375473022,0.15789473056793213,1.9538609981536865
11,0.16143938899040222,0.0010000000474974513,1.9624077081680298,0.17499999701976776,1.9529181718826294
12,0.16379903256893158,0.0010000000474974513,1.9591987133026123,0.15921053290367126,1.9480220079421997
13,0.16625700891017914,0.0010000000474974513,1.9603040218353271,0.16710525751113892,1.9453706741333008
14,0.16055451333522797,0.0010000000474974513,1.9618221521377563,0.15723684430122375,1.953123927116394
15,0.1580965518951416,0.0010000000474974513,1.9634473323822021,0.16184210777282715,1.941088080406189
16,0.15593352913856506,0.0010000000474974513,1.9625109434127808,0.1743421107530594,1.9431897401809692
17,0.15465539693832397,0.0010000000474974513,1.9625639915466309,0.16842105984687805,1.9517319202423096
18,0.16340576112270355,0.0010000000474974513,1.9626890420913696,0.17697368562221527,1.9389514923095703
19,0.16340576112270355,0.0010000000474974513,1.95839524269104,0.1717105209827423,1.9512939453125
20,0.1626192182302475,0.0010000000474974513,1.961480736732483,0.1763157844543457,1.9467023611068726
21,0.1565234512090683,0.0010000000474974513,1.96258544921875,0.1782894730567932,1.9346442222595215
22,0.16301248967647552,0.0010000000474974513,1.9632105827331543,0.17302630841732025,1.9427237510681152
23,0.16478222608566284,0.0010000000474974513,1.9604344367980957,0.18026316165924072,1.9380396604537964
24,0.16665028035640717,0.0010000000474974513,1.9595900774002075,0.19078947603702545,1.9327516555786133
25,0.15681840479373932,0.0010000000474974513,1.961303472518921,0.19144736230373383,1.9490340948104858
26,0.15898141264915466,0.0010000000474974513,1.9625300168991089,0.16842105984687805,1.9589234590530396
